week,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Conductividad Eléctrica,Temperatura de la muestra,Caudal,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Plomo total,Cobre total,Arsénico total,Zinc total,Cadmio total,Mercurio total
2003-01-05,8.45,5.0,428.0,16.6,39.74,10.6,14.5,,,,,,,
2003-01-12,8.81,5.0,743.0,21.4,44.66,,4.39,0.004,,,,,,
2003-01-19,8.98,6.0,659.0,22.2,27.98,11.4,9.53,0.004,0.03,0.034,0.002,0.039,,
2003-01-26,8.48,27.0,502.0,17.8,56.2,8.5,31.2,,,,,,,
2003-02-02,8.13,208.0,368.5,13.3,57.81,9.9,223.0,0.004,,,,,,
2003-02-09,8.28,94.0,444.7,13.7,58.95,8.89,57.7,,,,,,,
2003-02-16,8.2,142.0,554.0,11.6,59.39,8.15,88.1,0.004,0.03,0.068,0.006,0.047,,
2003-02-23,8.08,15.0,832.0,17.5,21.89,8.95,14.2,,,,,,,
2003-03-02,8.27,334.0,187.4,12.2,80.37,8.72,343.0,0.004,,,,,,
2003-03-09,8.24,382.0,168.1,11.0,122.62,8.69,317.0,,,,,,,
2003-03-16,8.14,46.0,346.6,13.0,,,23.6,0.004,0.03,,,,0.006,0.0004
2003-03-23,7.71,57.5,337.1,14.45,64.94,8.91,49.4,,0.03,0.187,0.002,0.062,0.006,0.0004
2003-03-30,8.2,11.0,325.0,13.2,42.15,8.59,10.18,0.004,,,,,,
2003-04-06,8.06,102.0,239.5,12.3,97.47,8.03,77.5,,,,,,,
2003-04-13,8.39,13.0,429.1,18.4,26.91,7.75,4.9,0.004,0.03,0.086,0.002,0.049,,
2003-04-20,8.28,5.0,384.4,15.1,18.98,10.02,2.78,,,,,,,
2003-04-27,8.32,5.0,362.1,13.1,11.8,15.12,2.41,0.004,,,,,,
2003-05-04,8.41,5.0,775.0,16.0,8.9,14.5,1.41,,,,,,,
2003-05-11,7.94,5.0,762.0,19.3,7.321,8.59,1.35,0.004,0.03,0.019,0.002,0.002,,
2003-05-18,7.56,5.0,592.0,11.7,7.959,10.18,0.83,,,,,,,
2003-05-25,8.02,5.0,417.9,12.1,7.943,11.79,0.83,0.004,,,,,,
2003-06-01,7.7,5.0,583.1,10.4,7.85,11.65,1.07,,,,,,,
2003-06-08,7.82,5.0,352.1,11.3,7.71,10.98,0.85,0.004,0.03,0.015,0.002,0.029,,
2003-06-15,8.14,5.0,580.0,16.5,6.712,10.52,1.04,,,,,,,
2003-06-22,7.8,8.0,582.0,8.0,5.662,11.68,0.6,0.004,,,,,,
2003-06-29,8.1,5.0,491.3,12.7,5.489,11.28,1.16,,,,,,,
2003-07-06,8.06,5.0,490.8,5.8,5.478,11.32,2.65,0.004,0.03,0.01,0.004,0.005,,
2003-07-13,7.99,5.0,476.0,6.3,5.19,11.83,0.61,,,,,,,
2003-07-20,8.5,5.0,785.0,13.1,3.35,12.86,1.37,0.004,,,,,,
2003-07-27,7.88,5.0,1030.0,11.2,2.63,12.29,2.07,,,,,,,
2003-08-03,8.05,8.0,805.0,7.5,2.639,12.01,1.23,0.004,,,,,,
2003-08-10,8.34,5.0,1001.0,9.7,2.37,12.5,1.0,0.004,0.03,0.013,0.007,0.023,,
2003-08-17,8.43,5.0,1608.0,17.3,2.345,12.93,2.73,,,,,,,
2003-08-24,8.27,5.0,1209.0,10.5,2.2765,18.56,0.85,0.004,,,,,,
2003-08-31,8.35,5.0,1862.0,13.5,2.557,15.1,0.54,,,,,,,
2003-09-07,8.5,5.0,2070.0,14.5,2.43,15.53,0.97,0.004,0.03,0.014,0.013,0.033,,
2003-09-14,8.34,5.0,2183.0,14.2,2.033,14.12,1.05,,,,,,,
2003-09-21,8.71,6.0,2196.0,18.6,1.918,13.41,0.65,0.004,,,,,,
2003-09-28,8.48,5.0,1670.0,13.6,1.828,11.4,1.3,,,,,,,
2003-10-05,8.37,5.0,2017.0,18.3,1.776,13.06,1.01,0.004,0.03,0.01,0.016,0.018,,
2003-10-12,8.2,5.0,1456.0,18.3,1.705,,1.17,,,,,,,
2003-10-19,8.35,5.0,2187.0,17.0,1.5815,12.5,1.66,0.004,,,,,,
2003-10-26,8.28,6.0,2586.0,19.7,1.185,,1.93,,,,,,,
2003-11-02,8.23,7.0,2517.0,13.6,1.485,12.95,1.5,0.004,,,,,,
2003-11-09,8.25,5.0,1992.0,20.0,1.246,20.1,3.37,0.004,0.03,0.013,0.008,0.009,0.006,
2003-11-16,8.49,5.0,1862.0,22.5,1.26,10.22,2.42,,,,,,,
2003-11-23,8.44,5.0,2470.0,20.4,1.15,13.75,2.72,0.004,,,,,,
2003-11-30,8.31,10.0,2120.0,21.0,1.123,13.28,1.35,0.004,,,,,,
2003-12-07,8.48,5.0,2312.0,19.7,1.2087,,,0.004,0.03,0.01,0.01,0.015,,
2003-12-14,8.35,8.0,2925.0,17.7,1.135,16.0,2.57,,,,,,,
2003-12-21,8.045,8.0,2158.5,15.25,2.8505,14.265,3.89,0.004,,,,,,
2003-12-28,,,,,,,,,,,,,,
2004-01-04,,,,,,,,,,,,,,
2004-01-11,7.94,101.0,320.0,12.3,9280.0,,,,,,,,,
2004-01-18,8.055,173.0,379.0,15.45,16010.0,6.7,,0.005,,,,,,
2004-01-25,8.29,97.0,277.0,15.3,16630.0,5.58,,0.005,,,,,,
2004-02-01,,,,,,,,,,,,,,
2004-02-08,8.195,49.5,382.0,16.15,12995.0,4.935,68.3,0.005,0.08,0.02,0.0054,0.03,0.01,0.0005
2004-02-15,7.85,30.0,295.0,16.0,11348.0,4.9,20.68,,,,,,,
2004-02-22,,,,,,,,,,,,,,
2004-02-29,8.06,5.0,420.0,18.1,11508.0,4.9,3.04,0.005,,,,,,
2004-03-07,7.88,5.0,512.0,15.9,11200.0,6.45,2.88,,,,,,,
2004-03-14,8.370000000000001,9.0,798.5,15.7,5726.5,7.82,1.5950000000000002,0.005,0.08,0.02,0.0056,0.01,0.01,0.0007
2004-03-21,,,,,,,,,,,,,,
2004-03-28,8.1,28.0,597.0,17.7,10800.0,5.4,15.04,0.005,,,,,,
2004-04-04,7.89,5.0,667.0,15.5,10960.0,6.94,3.81,,,,,,,
2004-04-11,8.72,5.0,742.0,16.6,11213.0,6.46,3.3,,0.08,0.02,0.0037,0.11,0.01,0.0005
2004-04-18,8.69,5.0,701.0,16.3,10850.0,6.23,0.0,0.005,,,,,,
2004-04-25,8.0,5.0,782.0,15.1,7960.0,5.26,1.18,,,,,,,
2004-05-02,8.43,5.0,754.0,13.0,6320.0,4.68,0.35,0.005,,,,,,
2004-05-09,8.43,5.0,923.0,15.4,4790.0,6.93,0.07,,0.08,0.12,0.0085,0.02,0.01,0.0005
2004-05-16,8.155000000000001,5.0,1512.5,13.25,4273.0,6.43,0.055,0.005,,,,,,
2004-05-23,,,,,,,,,,,,,,
2004-05-30,8.51,5.0,1837.0,14.8,4600.0,6.4,0.72,0.005,,,,,,
2004-06-06,7.65,5.0,2130.0,12.3,3750.0,8.76,0.0,,0.02,0.02,0.0093,0.01,0.005,0.0005
2004-06-13,7.82,5.0,2280.0,6.6,3750.0,6.14,0.19,0.005,0.02,0.02,0.0106,0.01,0.005,
2004-06-20,8.01,5.0,2195.0,10.2,3375.0,5.135,0.105,0.005,,,,,,
2004-06-27,,,,,,,,,,,,,,
2004-07-04,7.78,5.0,2290.0,9.1,3250.0,6.14,0.0,,,,,,,
2004-07-11,8.21,5.0,1938.0,9.3,2150.0,7.12,0.0,,0.02,0.02,0.0098,0.01,0.005,0.0006
2004-07-18,8.07,5.0,2300.0,8.9,2100.0,6.21,0.0,0.005,,,,,,
2004-07-25,8.06,5.0,2470.0,11.4,1650.0,5.38,2.81,,,,,,,
2004-08-01,7.98,5.0,2310.0,13.4,1650.0,5.88,0.41,0.005,,,,,,
2004-08-08,7.81,5.0,2780.0,10.8,1450.0,6.07,0.58,,0.02,0.02,0.0169,0.01,0.005,0.0006
2004-08-15,7.88,5.0,2520.0,11.2,1450.0,5.93,0.0,0.005,,,,,,
2004-08-22,7.61,5.0,3290.0,10.13,3250.0,5.58,0.0,,,,,,,
2004-08-29,7.37,5.0,2610.0,7.9,2220.0,5.01,0.1,0.005,,,,,,
2004-09-05,7.63,5.0,2210.0,13.8,2307.69,6.89,0.0,,0.02,0.02,0.0118,0.01,0.005,0.0005
2004-09-12,7.9,5.0,2660.0,17.5,2216.0,9.25,0.0,0.005,,,,,,
2004-09-19,7.805,5.0,2820.0,15.85,1886.84,5.5600000000000005,0.0,0.005,,,,,,
2004-09-26,,,,,,,,,,,,,,
2004-10-03,7.42,5.0,3050.0,15.7,2048.7,6.28,0.0,,,,,,,
2004-10-10,8.0,5.0,2590.0,17.4,2050.0,6.1,0.0,,0.02,0.02,0.0128,0.001,0.005,0.0005
2004-10-17,8.28,5.0,2570.0,18.0,2228.0,7.35,0.0,0.005,,,,,,
2004-10-24,8.18,5.0,2940.0,21.4,2200.0,6.1,0.2,,,,,,,
2004-10-31,7.95,5.0,3170.0,16.8,2140.0,6.5,6.5,0.005,,,,,,
2004-11-07,8.21,5.0,3310.0,16.7,3100.0,6.15,0.0,,0.02,0.02,0.0163,0.01,0.005,0.0005
2004-11-14,7.95,5.0,1738.0,17.2,2286.0,7.76,0.0,0.005,,,,,,
2004-11-21,8.21,5.0,1794.0,20.6,2387.0,6.04,0.0,,,,,,,
2004-11-28,7.49,5.0,1854.0,15.4,2230.0,6.88,0.0,0.005,,,,,,
2004-12-05,7.61,5.0,2050.0,19.8,2216.0,6.0,0.0,,0.02,0.02,0.0166,0.02,0.005,0.0005
2004-12-12,8.15,5.0,2340.0,20.7,2320.0,6.18,0.0,0.005,,,,,,
2004-12-19,7.68,63.0,830.0,11.5,2700.0,6.985,5.705,0.005,,,,,,
2004-12-26,,,,,,,,,,,,,,
2005-01-02,7.97,5.0,1691.0,24.0,2300.0,4.81,0.0,,,,,,,
2005-01-09,7.88,5.0,1063.0,13.7,2859.0,6.83,0.1,0.005,0.02,0.02,0.0088,0.01,0.005,0.0005
2005-01-16,7.59,29.0,901.0,20.4,3213.0,6.23,1.86,,,,,,,
2005-01-23,8.11,10.0,1166.0,21.7,13995.0,7.04,0.0,0.005,,,,,,
2005-01-30,8.3,5.0,1031.0,21.0,11125.0,6.44,2.56,,,,,,,
2005-02-06,8.48,8.5,825.5,20.4,14101.0,6.02,5.375,0.005,0.02,0.02,0.0059,0.01,0.005,0.001
2005-02-13,,,,,,,,,,,,,,
2005-02-20,7.46,134.0,386.0,14.6,13711.0,5.56,46.8,0.005,,,,,,
2005-02-27,7.65,95.0,406.0,14.6,27302.0,5.82,52.9,,,,,,,
2005-03-06,7.52,5.0,746.0,18.8,21618.0,6.71,3.3,0.005,0.02,0.02,0.0041,0.01,0.005,0.0007
2005-03-13,8.06,6.0,859.0,14.7,24380.0,5.2,3.46,,,,,,,
2005-03-20,8.36,7.0,959.0,17.3,19723.0,5.23,2.64,0.005,,,,,,
2005-03-27,8.36,19.0,829.0,15.6,21518.0,5.01,7.31,,,,,,,
2005-04-03,8.34,40.0,,16.5,17108.0,,,,,,,,,
2005-04-10,8.16,7.0,588.0,18.5,21910.0,,3.96,0.005,,,,,,
2005-04-17,8.13,14.0,709.0,17.4,19901.0,6.98,10.0,,0.02,0.04,0.0038,0.02,0.005,0.0005
2005-04-24,8.31,5.0,813.0,18.6,6221.0,6.07,5.55,0.005,,,,,,
2005-05-01,8.28,5.0,799.0,17.9,5480.0,6.16,3.5,,,,,,,
2005-05-08,8.13,5.0,1092.0,14.7,4046.0,6.36,2.0,0.005,0.02,0.02,0.0061,0.01,0.005,0.0005
2005-05-15,8.88,5.0,1187.0,16.9,3503.0,5.23,2.17,,,,,,,
2005-05-22,8.71,5.0,1456.0,14.7,3190.0,6.12,0.97,0.005,,,,,,
2005-05-29,,,,,,,,,,,,,,
2005-06-05,,,,,,,,,,,,,,
2005-06-12,,,,,,,,,,,,,,
2005-06-19,7.89,5.0,1968.0,11.9,3248.0,7.56,1.37,0.005,0.02,0.02,0.0072,0.01,0.005,0.0005
2005-06-26,8.3,5.0,2360.0,13.8,3131.0,5.28,1.3,,,,,,,
2005-07-03,8.01,5.0,2690.0,14.8,2823.0,5.82,0.69,0.005,,,,,,
2005-07-10,8.02,5.0,2840.0,11.7,1368.0,7.19,0.7,0.005,0.02,0.02,0.0069,0.02,0.005,0.0005
2005-07-17,7.9,5.0,2930.0,6.5,1421.0,6.0,0.3,,,,,,,
